feature,importance
cat__purpose_house,0.0005792812704716854
cat__issue_d_2012-07-01,0.0005740452674480134
cat__addr_state_LA,0.0005733142532500176
cat__issue_d_2013-09-01,0.0005721089451352679
cat__issue_d_2012-02-01,0.0005703502574017029
cat__issue_d_2014-04-01,0.00056956827046582
cat__addr_state_KY,0.0005629709742896419
cat__issue_d_2014-06-01,0.0005542868564822557
cat__issue_d_2014-05-01,0.0005510368654905431
cat__issue_d_2012-09-01,0.0005452703027015492
cat__issue_d_2015-06-01,0.000536555456152944
cat__addr_state_NM,0.0005326310152204722
cat__issue_d_2015-09-01,0.0005292590390583156
cat__issue_d_2014-01-01,0.0005167814264947203
cat__issue_d_2013-03-01,0.000513791715399416
cat__addr_state_DC,0.0005065520500825789
cat__issue_d_2014-12-01,0.0005065351397466327
cat__issue_d_2015-03-01,0.0005013898489984473
cat__issue_d_2010-11-01,0.00048279570614992093
cat__issue_d_2014-02-01,0.00048182807590498803
cat__issue_d_2010-07-01,0.00046977276591316853
cat__addr_state_OK,0.00046939468859093393
cat__issue_d_2015-01-01,0.0004632441898626497
cat__addr_state_UT,0.0004608557847567965
cat__issue_d_2014-09-01,0.0004568535481955424
cat__issue_d_2013-04-01,0.0004534391724203745
cat__sub_grade_F2,0.0004354591389259211
cat__issue_d_2009-10-01,0.0004342367149007983
cat__addr_state_TN,0.0004277680916333888
cat__addr_state_IN,0.00042210987516233436
cat__addr_state_AR,0.00041610726396007074
cat__issue_d_2015-02-01,0.00039159778037334536
cat__addr_state_RI,0.0003915154324431656
cat__addr_state_HI,0.000386376409674579
cat__issue_d_2010-03-01,0.00038050353469901957
cat__sub_grade_F5,0.0003771305481713724
cat__issue_d_2010-04-01,0.00036032719630573644
cat__issue_d_2013-01-01,0.00035510547366943444
cat__issue_d_2009-09-01,0.0003249469945902677
cat__issue_d_2010-05-01,0.00032459445476866363
cat__issue_d_2009-03-01,0.0003170807466447866
cat__issue_d_2010-01-01,0.0003136347299271337
cat__addr_state_NH,0.0003095722996875329
cat__issue_d_2013-02-01,0.0003091604521946769
cat__sub_grade_F3,0.00028171849995078826
cat__issue_d_2009-12-01,0.0002799132816669616
cat__issue_d_2009-04-01,0.000279347865422206
cat__addr_state_MT,0.0002764819334896675
cat__issue_d_2008-03-01,0.00026641535729245115
cat__purpose_renewable_energy,0.00025575078726122996
cat__issue_d_2010-02-01,0.00025407681634032054
cat__addr_state_DE,0.00023273207768495833
cat__issue_d_2009-01-01,0.00023202110216160966
cat__issue_d_2009-06-01,0.00022838155425262255
cat__addr_state_AK,0.0002269956397768526
cat__sub_grade_G1,0.00022469137294889131
cat__issue_d_2009-11-01,0.00022413417048923112
cat__addr_state_MS,0.00021890822950294667
cat__issue_d_2008-07-01,0.00021841843407999716
cat__purpose_educational,0.00021276512378106552
