feature,importance
cat__issue_d_2011-01-01,0.0014289935699227621
cat__sub_grade_A2,0.0014111551782760095
cat__sub_grade_E2,0.0013868936155544455
cat__issue_d_2010-12-01,0.0013867485894007911
cat__purpose_wedding,0.001371859729355358
cat__issue_d_2012-02-01,0.001368339327824516
cat__addr_state_IN,0.001364620703149555
cat__addr_state_TN,0.0013560067343325682
cat__issue_d_2014-09-01,0.001350743340917891
cat__addr_state_KS,0.0013413534898045116
cat__purpose_moving,0.0013274810209352136
cat__issue_d_2010-10-01,0.0013256622406431224
cat__issue_d_2013-01-01,0.001325546608050872
cat__issue_d_2010-08-01,0.0013242660950098524
cat__issue_d_2010-06-01,0.001259611509997328
cat__issue_d_2011-02-01,0.0012548809666779934
cat__issue_d_2010-07-01,0.0012531938094677566
cat__issue_d_2014-12-01,0.001121907983085822
cat__sub_grade_E3,0.0011113925928458062
cat__addr_state_UT,0.0011008451916946283
cat__sub_grade_E4,0.0010935468408410194
cat__addr_state_AR,0.001071991888193136
cat__addr_state_NM,0.0010702219303337006
cat__sub_grade_E5,0.001053273733849997
cat__purpose_vacation,0.0010518325769547942
cat__issue_d_2010-11-01,0.0010506113462542665
cat__issue_d_2010-05-01,0.0010367734389599916
cat__addr_state_HI,0.0009808314967285753
cat__purpose_house,0.0009420585028523401
cat__issue_d_2010-04-01,0.0008632122596824195
cat__addr_state_WV,0.0008441287792268806
cat__issue_d_2009-10-01,0.000820202028932948
cat__addr_state_NH,0.0007969725165079876
cat__addr_state_RI,0.0007904518128387871
cat__issue_d_2010-03-01,0.0007729429345553111
cat__issue_d_2009-11-01,0.0007104760310233769
cat__sub_grade_F1,0.000651760940796309
cat__issue_d_2010-01-01,0.0006404402223188366
cat__issue_d_2009-12-01,0.000614173917439638
cat__issue_d_2010-02-01,0.0005964956981336546
cat__issue_d_2009-09-01,0.0005536515288025808
cat__grade_G,0.0005466308803361366
cat__addr_state_DC,0.0005273343660837372
cat__sub_grade_F2,0.0005098875488487632
cat__addr_state_MT,0.0004982920842989832
cat__sub_grade_F3,0.0004976639508563569
cat__addr_state_DE,0.0004787578788943375
cat__issue_d_2009-08-01,0.00047626142031468346
cat__addr_state_AK,0.00047348093818568043
cat__issue_d_2009-07-01,0.0004662236080905082
cat__issue_d_2009-06-01,0.0004479677245366316
cat__purpose_educational,0.00044598250509606674
cat__addr_state_SD,0.0004333653828975226
cat__issue_d_2009-05-01,0.0004297851278115951
cat__sub_grade_F4,0.00042392013056240664
cat__issue_d_2009-03-01,0.0003961237879574206
cat__issue_d_2009-04-01,0.0003869619683533017
cat__issue_d_2009-02-01,0.00038039279258980316
cat__issue_d_2008-03-01,0.00037318913602962057
cat__issue_d_2009-01-01,0.00037049310772528513
cat__addr_state_VT,0.00036084149009485677
cat__addr_state_MS,0.00034742022560949303
cat__addr_state_WY,0.0003393543134008714
cat__issue_d_2008-11-01,0.0003269093942080227
cat__issue_d_2008-01-01,0.00031846194059441423
cat__issue_d_2008-12-01,0.0003166912588430124
cat__sub_grade_F5,0.00031473416233388993
cat__purpose_renewable_energy,0.00028663751243710286
cat__issue_d_2008-04-01,0.0002718794071541059
cat__sub_grade_G1,0.00023566416268045034
cat__issue_d_2008-02-01,0.00022877408483783768
cat__issue_d_2008-07-01,0.00022645319115371
cat__home_ownership_OTHER,0.00020101643819451197
cat__sub_grade_G2,0.00019445037421806174
cat__issue_d_2008-10-01,0.0001852467368183295
cat__sub_grade_G3,0.00014129627545339998
cat__addr_state_NE,0.00013348139405694706
cat__issue_d_2008-05-01,0.00012678700388346267
cat__issue_d_2007-12-01,0.00012082142662104386
cat__sub_grade_G4,0.00011340573702174347
cat__sub_grade_G5,0.00010171161894122424
cat__issue_d_2008-08-01,8.463771862514699e-05
cat__issue_d_2007-10-01,7.75927145627923e-05
cat__issue_d_2008-06-01,6.941222597680208e-05
cat__issue_d_2007-11-01,6.8394843044784e-05
cat__issue_d_2007-08-01,5.5512310250994756e-05
cat__issue_d_2008-09-01,4.749357392128717e-05
cat__addr_state_ME,3.080455266857061e-05
cat__home_ownership_NONE,2.7517657393118672e-05
cat__addr_state_ND,2.6679626332809645e-05
cat__issue_d_2007-09-01,2.588343978135181e-05
cat__issue_d_2007-07-01,7.815016533393888e-06
cat__addr_state_ID,7.053829985205261e-06
cat__addr_state_IA,1.7000261894040579e-06
cat__issue_d_2007-06-01,3.699536545504762e-07
