Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,Training Time,Rank
Logistic Regression Baseline,0.63665,0.3528748590755355,0.6721065063345502,0.46277814740888595,0.7038439504950649,3.7257513999938965,1
XGBoost Baseline,0.65965,0.3656585853536616,0.6283014816405411,0.46227980093214316,0.7059027420945182,7.180715560913086,2
Random Forest Baseline,0.7651,0.4905833716123105,0.22933218810392958,0.3125548726953468,0.6972931373524713,12.459822416305542,3
